year,month,total,minimum,maximum
2014,6,124.00,0.00,35.00
2014,7,63.00,0.00,14.00
2014,8,59.00,0.00,17.00
2014,9,6.00,0.00,2.00
2014,10,12.00,0.00,4.00
2014,11,20.00,0.00,9.00
2014,12,65.00,0.00,44.00
2015,1,267.00,0.00,51.00
2015,2,739.00,0.00,297.00
2015,3,312.00,0.00,118.00
2015,4,83.00,0.00,33.00
2015,5,47.00,0.00,12.00
2015,6,222.00,0.00,44.00
2015,7,38.00,0.00,6.00
2015,8,24.00,0.00,13.00
2015,9,30.00,0.00,19.00
2015,10,87.00,0.00,17.00
2015,11,92.00,0.00,17.00
2015,12,358.00,0.00,88.00
2016,1,73.00,0.00,19.00
2016,2,136.00,0.00,35.00
2016,3,212.00,0.00,63.00
2016,4,151.00,0.00,22.00
2016,5,224.00,0.00,117.00
2016,6,102.00,0.00,31.00
2016,7,145.00,0.00,54.00
2016,8,43.00,0.00,9.00
2016,9,75.00,0.00,21.00
2016,10,27.00,0.00,11.00
2016,11,23.00,0.00,9.00
2016,12,158.00,0.00,71.00
2017,1,384.00,0.00,43.00
2017,2,601.00,0.00,159.00
2017,3,224.00,0.00,47.00
2017,4,217.00,0.00,61.00
2017,5,67.00,0.00,16.00
2017,6,54.00,0.00,11.00
2017,7,100.00,0.00,35.00
2017,8,7.00,0.00,2.00
2017,9,61.00,0.00,46.00
2017,10,194.00,0.00,101.00
2017,11,118.00,0.00,29.00
2017,12,40.00,0.00,14.00
2018,1,701.00,0.00,140.00
2018,2,424.00,0.00,160.00
2018,3,1297.00,0.00,244.00
2018,4,64.00,0.00,33.00
2018,5,35.00,0.00,13.00
2018,6,58.00,0.00,14.00
2018,7,45.00,0.00,34.00
2018,8,5.00,0.00,2.00
2018,9,8.00,0.00,2.00
2018,10,23.00,0.00,7.00
2018,11,29.00,0.00,11.00
2018,12,1240.00,0.00,250.00
2019,1,891.00,0.00,219.00
2019,2,432.00,0.00,103.00
2019,3,488.00,0.00,97.00
2019,4,323.00,0.00,122.00
2019,5,127.00,0.00,24.00
2019,6,6.00,0.00,6.00
2019,7,5.00,0.00,2.00
2019,8,38.00,0.00,13.00
2019,9,5.00,0.00,3.00
2019,10,92.00,0.00,39.00
2019,11,6.00,0.00,3.00
2019,12,93.00,0.00,21.00
2020,1,505.00,0.00,159.00
2020,2,342.00,0.00,81.00
2020,3,225.00,0.00,49.00
2020,4,108.00,0.00,41.00
2020,5,204.00,0.00,79.00
2020,6,90.00,0.00,23.00
2020,7,72.00,0.00,40.00
2020,8,24.00,0.00,8.00
2020,9,106.00,0.00,28.00
2020,10,19.00,0.00,6.00
2020,11,103.00,0.00,23.00
2020,12,206.00,0.00,52.00
2021,1,677.00,0.00,210.00
2021,2,270.00,0.00,52.00
2021,3,180.00,0.00,77.00
2021,4,758.00,0.00,173.00
2021,5,88.00,0.00,17.00
2021,6,79.00,0.00,38.00
2021,7,114.00,0.00,67.00
2021,8,49.00,0.00,8.00
2021,9,205.00,0.00,181.00
2021,10,25.00,0.00,13.00
