year,month,total,minimum,maximum
1911,12,32.00,0.00,17.80
1912,1,84.60,0.00,59.70
1912,2,291.30,0.00,41.90
1912,3,410.00,0.00,102.90
1912,4,95.90,0.00,29.70
1912,5,152.90,0.00,24.60
1912,6,231.80,0.00,129.50
1912,7,29.50,0.00,11.90
1912,8,83.80,0.00,30.50
1912,9,16.40,0.00,9.10
1912,10,86.60,0.00,34.50
1912,11,43.20,0.00,12.70
1912,12,34.00,0.00,16.80
1913,1,810.70,0.00,415.00
1913,2,635.30,0.00,385.60
1913,3,655.20,0.00,147.60
1913,4,231.20,0.00,66.00
1913,5,217.00,0.00,165.40
1913,6,21.50,0.00,15.20
1913,7,5.80,0.00,5.80
1913,8,3.00,0.00,3.00
1913,9,5.10,0.00,3.30
1913,10,51.10,0.00,30.50
1913,11,0.00,0.00,0.00
1913,12,486.40,0.00,138.40
1914,1,769.00,0.00,216.40
1914,2,471.60,0.00,162.60
1914,3,407.60,0.00,101.60
1914,4,232.00,0.00,61.00
1914,5,138.80,0.00,36.80
1914,6,103.70,0.00,47.00
1914,7,23.90,0.00,12.70
1914,8,121.70,0.00,38.10
1914,9,95.80,0.00,21.10
1914,10,78.60,0.00,13.00
1914,11,107.80,0.00,24.10
1914,12,129.40,0.00,31.20
1915,1,72.70,0.00,20.30
1915,2,129.00,0.00,50.80
1915,3,69.00,0.00,35.10
1915,4,70.70,0.00,17.80
1915,5,51.30,0.00,15.70
1915,6,50.90,0.00,21.30
1915,7,93.20,0.00,51.30
1915,8,0.00,0.00,0.00
1915,9,0.00,0.00,0.00
1915,10,5.60,0.00,3.80
1915,11,32.20,0.00,19.10
1915,12,169.20,0.00,38.60
1916,1,654.10,0.00,283.20
1916,2,185.60,0.00,50.80
1916,3,92.60,0.00,24.10
1916,4,148.40,0.00,56.60
1916,5,98.90,0.00,22.60
1916,6,44.30,0.00,15.20
1916,7,136.80,0.00,22.90
1916,8,84.40,0.00,24.90
1916,9,90.90,0.00,23.40
1916,10,86.90,0.00,17.80
1916,11,25.40,0.00,15.20
1916,12,643.10,0.00,221.20
1917,1,113.30,0.00,36.30
1917,2,240.90,0.00,55.40
1917,3,266.40,0.00,48.80
1917,4,150.50,0.00,59.40
1917,5,95.00,0.00,40.60
1917,6,22.60,0.00,7.40
1917,7,0.00,0.00,0.00
1917,8,49.50,0.00,14.70
1917,9,11.90,0.00,11.90
1917,10,80.00,0.00,40.60
1917,11,202.60,0.00,57.90
1917,12,245.30,0.00,74.20
1918,1,214.10,0.00,48.50
1918,2,310.50,0.00,74.90
1918,3,235.30,0.00,50.80
1918,4,229.70,0.00,91.40
1918,5,71.90,0.00,16.80
1918,6,6.90,0.00,6.90
1918,7,60.50,0.00,15.70
1918,8,117.70,0.00,55.90
1918,9,1.00,0.00,1.00
1918,10,6.60,0.00,4.10
1918,11,28.00,0.00,14.00
1918,12,144.90,0.00,30.50
1919,1,325.40,0.00,200.70
1919,2,198.00,0.00,83.80
1919,3,104.10,0.00,63.50
1919,4,372.40,0.00,152.40
1919,5,80.00,0.00,25.40
1919,6,59.10,0.00,21.10
1919,7,68.30,0.00,43.20
1919,8,34.10,0.00,17.80
1919,9,72.10,0.00,35.60
1919,10,2.30,0.00,2.30
1919,11,30.00,0.00,13.50
1919,12,17.70,0.00,15.20
1920,1,426.80,0.00,141.00
1920,2,387.10,0.00,137.90
1920,3,194.50,0.00,72.40
1920,4,443.10,0.00,208.80
1920,5,395.10,0.00,128.30
1920,6,75.50,0.00,31.00
1920,7,122.10,0.00,78.70
1920,8,6.40,0.00,6.40
1920,9,30.20,0.00,7.60
1920,10,36.60,0.00,12.70
1920,11,122.90,0.00,30.50
1920,12,183.30,0.00,55.90
1921,1,278.40,0.00,124.50
1921,2,353.00,0.00,83.80
1921,3,722.90,0.00,194.30
1921,4,547.30,0.00,214.60
1921,5,118.10,0.00,29.50
1921,6,245.50,0.00,113.80
1921,7,50.80,0.00,21.60
1921,8,49.70,0.00,16.50
1921,9,56.80,0.00,24.60
1921,10,90.70,0.00,20.30
1921,11,63.80,0.00,26.40
1921,12,330.50,0.00,125.70
1922,1,149.30,0.00,81.30
1922,2,427.60,0.00,177.80
1922,3,352.80,0.00,132.10
1922,4,326.30,0.00,76.20
1922,5,113.80,0.00,32.80
1922,6,76.20,0.00,34.50
1922,7,90.70,0.00,57.20
1922,8,20.80,0.00,13.20
1922,9,26.70,0.00,13.50
1922,10,30.80,0.00,8.90
1922,11,1.50,0.00,1.50
1922,12,116.90,0.00,52.80
1923,1,102.90,0.00,24.40
1923,2,192.60,0.00,116.80
1923,3,611.10,0.00,218.40
1923,4,136.70,0.00,50.00
1923,5,19.80,0.00,12.40
1923,6,70.60,0.00,60.20
1923,7,15.70,0.00,9.90
1923,8,23.40,0.00,9.70
1923,9,0.00,0.00,0.00
1923,10,2.50,0.00,2.50
1923,11,11.70,0.00,9.90
1923,12,109.20,0.00,39.40
1924,1,264.60,0.00,148.80
1924,2,210.80,0.00,48.30
1924,3,272.80,0.00,55.90
1924,4,330.90,0.00,155.70
1924,5,130.60,0.00,30.50
1924,6,52.70,0.00,16.50
1924,7,69.80,0.00,20.10
1924,8,85.50,0.00,41.10
1924,9,44.90,0.00,14.20
1924,10,2.50,0.00,2.50
1924,11,192.80,0.00,80.50
1924,12,248.00,0.00,110.20
1925,1,337.00,0.00,83.80
1925,2,378.90,0.00,91.20
1925,3,762.70,0.00,139.40
1925,4,237.90,0.00,50.80
1925,5,0.00,0.00,0.00
1925,6,137.30,0.00,38.60
1925,7,21.90,0.00,17.80
1925,8,0.00,0.00,0.00
1925,9,0.00,0.00,0.00
1925,10,0.00,0.00,0.00
1925,11,21.80,0.00,14.20
1925,12,17.80,0.00,9.10
1926,1,414.90,0.00,134.60
1926,2,93.70,0.00,33.30
1926,3,205.40,0.00,35.60
1926,4,224.50,0.00,88.40
1926,5,22.80,0.00,18.50
1926,6,25.90,0.00,11.40
1926,7,10.40,0.00,7.10
1926,8,39.70,0.00,13.70
1926,9,144.20,0.00,28.40
1926,10,0.00,0.00,0.00
